"year","50% RI, DynaMICE","50% RI, IDM","50% RI, Penn State","Postpone 2020 SIAs -> 2021, DynaMICE","Postpone 2020 SIAs -> 2021, IDM","Postpone 2020 SIAs -> 2021, Penn State","50% RI, postpone 2020 SIAs -> 2021, DynaMICE","50% RI, postpone 2020 SIAs -> 2021, IDM","50% RI, postpone 2020 SIAs -> 2021, Penn State"
2020,0,1102,338,59305,7448,3973,59305,10447,4660
2021,3,8891,3181,1126,27390,92,1132,44615,2569
2022,20337,16820,20,-14892,-4271,-1095,-14885,2613,-1168
2023,172101,22733,1,-38014,-18948,-584,29920,-3325,-702
2024,-72382,2548,-179,-90260,-15939,-746,36613,-8778,-976
2025,-61552,-5535,95,100722,2432,-639,-91818,94,-807
2026,-34389,-948,62,-48358,6791,-653,-21587,5617,-714
2027,1596,871,99,2389,1357,-217,7015,2281,-268
2028,5261,296,-27,5868,-96,-181,-152,44,-340
2029,3707,343,-153,-2060,-115,-362,1007,-651,-414
2030,45150,375,22,89235,-1054,-303,10020,-418,-311
